timestamp,import_kW,export_kW,power_diff_kW,pid_power_kW,L1_kW,L2_kW,L3_kW
2025-10-13 12:23:52,0.514,0.302,0.212,0.026,0.530,0.000,0.000
2025-10-13 12:23:53,0.370,0.422,-0.052,-0.074,0.395,0.000,0.000
2025-10-13 12:23:55,0.114,0.421,-0.307,-0.445,0.113,0.000,0.000
2025-10-13 12:23:56,0.224,0.420,-0.196,-0.429,0.219,0.000,0.000
2025-10-13 12:23:57,0.624,0.304,0.320,0.072,0.631,0.000,0.000
2025-10-13 12:23:58,0.598,0.301,0.297,0.096,0.600,0.000,0.000
2025-10-13 12:23:59,0.081,0.301,-0.220,-0.386,0.080,0.000,0.000
2025-10-13 12:24:00,0.046,0.419,-0.373,-0.576,0.045,0.000,0.000
2025-10-13 12:24:01,0.563,0.303,0.260,0.023,0.561,0.000,0.000
2025-10-13 12:24:02,0.766,0.419,0.347,0.123,0.765,0.000,0.000
2025-10-13 12:24:03,0.124,0.306,-0.182,-0.347,0.123,0.000,0.000
2025-10-13 12:24:04,0.020,0.418,-0.398,-0.593,0.019,0.000,0.000
2025-10-13 12:24:06,0.517,0.306,0.211,-0.022,0.516,0.000,0.000
2025-10-13 12:24:07,0.808,0.416,0.392,0.078,0.806,0.000,0.000
2025-10-13 12:24:08,0.152,0.303,-0.151,-0.311,0.154,0.000,0.000
2025-10-13 12:24:09,0.062,0.301,-0.239,-0.415,0.060,0.000,0.000
2025-10-13 12:24:10,0.470,0.421,0.049,-0.156,0.470,0.000,0.000
2025-10-13 12:24:11,0.591,0.304,0.287,0.096,0.583,0.000,0.000
2025-10-13 12:24:13,0.045,0.421,-0.376,-0.546,0.044,0.000,0.000
2025-10-13 12:24:14,0.050,0.304,-0.254,-0.482,0.042,0.000,0.000
2025-10-13 12:24:15,0.741,0.422,0.319,0.068,0.751,0.000,0.000
2025-10-13 12:24:17,0.654,0.420,0.234,0.022,0.652,0.000,0.000
2025-10-13 12:24:18,0.070,0.419,-0.349,-0.078,0.072,0.000,0.000
2025-10-13 12:24:19,0.117,0.302,-0.185,-0.420,0.118,0.000,0.000
2025-10-13 12:24:20,0.224,0.301,-0.077,-0.353,0.216,0.000,0.000
2025-10-13 12:24:21,0.609,0.419,0.190,-0.091,0.605,0.000,0.000
2025-10-13 12:24:22,0.513,0.421,0.092,-0.165,0.511,0.000,0.000
2025-10-13 12:24:23,0.232,0.301,-0.069,-0.312,0.231,0.000,0.000
2025-10-13 12:24:24,0.314,0.420,-0.106,-0.360,0.312,0.000,0.000
2025-10-13 12:24:25,0.470,0.299,0.171,-0.087,0.469,0.000,0.000
2025-10-13 12:24:27,0.524,0.419,0.105,-0.132,0.522,0.000,0.000
2025-10-13 12:24:28,0.231,0.302,-0.071,-0.293,0.225,0.000,0.000
2025-10-13 12:24:29,0.282,0.416,-0.134,-0.368,0.277,0.000,0.000
2025-10-13 12:24:30,0.450,0.417,0.033,-0.217,0.449,0.000,0.000
2025-10-13 12:24:31,0.528,0.301,0.227,-0.011,0.527,0.000,0.000
2025-10-13 12:24:32,0.380,0.418,-0.038,-0.111,0.386,0.000,0.000
2025-10-13 12:24:33,0.160,0.419,-0.259,-0.483,0.159,0.000,0.000
2025-10-13 12:24:34,0.274,0.305,-0.031,-0.288,0.273,0.000,0.000
2025-10-13 12:24:35,0.672,0.418,0.254,0.000,0.671,0.000,0.000
2025-10-13 12:24:36,0.443,0.300,0.143,-0.075,0.439,0.000,0.000
2025-10-13 12:24:38,0.139,0.416,-0.277,-0.453,0.131,0.000,0.000
2025-10-13 12:24:39,0.214,0.300,-0.086,-0.325,0.214,0.000,0.000
2025-10-13 12:24:40,0.641,0.303,0.338,0.100,0.640,0.000,0.000
2025-10-13 12:24:41,0.474,0.422,0.052,-0.149,0.491,0.000,0.000
2025-10-13 12:24:42,0.038,0.418,-0.380,-0.584,0.037,0.000,0.000
2025-10-13 12:24:44,0.781,0.419,0.362,0.125,0.779,0.000,0.000
2025-10-13 12:24:45,0.783,0.302,0.481,0.316,0.782,0.000,0.000
2025-10-13 12:24:46,0.015,0.418,-0.403,-0.527,0.010,0.000,0.000
2025-10-13 12:24:48,0.001,0.420,-0.419,-0.592,0.000,0.000,0.000
2025-10-13 12:24:48,0.711,0.418,0.293,0.075,0.714,0.000,0.000
2025-10-13 12:24:50,0.784,0.300,0.484,0.312,0.782,0.000,0.000
2025-10-13 12:24:51,0.068,0.417,-0.349,-0.478,0.069,0.000,0.000
2025-10-13 12:24:52,0.001,0.486,-0.485,-0.665,0.000,0.000,0.000
2025-10-13 12:24:53,0.668,0.301,0.367,0.143,0.668,0.000,0.000
2025-10-13 12:24:54,0.865,0.300,0.565,0.396,0.863,0.000,0.000
2025-10-13 12:24:55,0.015,0.419,-0.404,-0.522,0.014,0.000,0.000
2025-10-13 12:24:57,0.001,0.445,-0.444,-0.609,0.000,0.000,0.000
2025-10-13 12:24:58,0.809,0.302,0.507,0.399,0.801,0.000,0.000
2025-10-13 12:25:00,0.804,0.414,0.390,0.364,0.808,0.000,0.000
2025-10-13 12:25:01,0.013,0.301,-0.288,-0.267,0.023,0.000,0.000
2025-10-13 12:25:02,0.001,0.460,-0.459,-0.483,0.000,0.000,0.000
2025-10-13 12:25:03,0.388,0.302,0.086,0.004,0.387,0.000,0.000
2025-10-13 12:25:04,0.666,0.416,0.250,0.104,0.665,0.000,0.000
2025-10-13 12:25:05,0.136,0.301,-0.165,-0.221,0.135,0.000,0.000
2025-10-13 12:25:06,0.041,0.415,-0.374,-0.461,0.040,0.000,0.000
2025-10-13 12:25:07,0.377,0.300,0.077,-0.054,0.375,0.000,0.000
2025-10-13 12:25:08,0.629,0.417,0.212,0.087,0.646,0.000,0.000
2025-10-13 12:25:10,0.192,0.299,-0.107,-0.212,0.193,0.000,0.000
2025-10-13 12:25:11,0.051,0.414,-0.363,-0.494,0.053,0.000,0.000
2025-10-13 12:25:12,0.368,0.297,0.071,-0.100,0.361,0.000,0.000
2025-10-13 12:25:13,0.678,0.298,0.380,0.225,0.676,0.000,0.000
2025-10-13 12:25:14,0.242,0.412,-0.170,-0.291,0.238,0.000,0.000
2025-10-13 12:25:15,0.015,0.300,-0.285,-0.427,0.011,0.000,0.000
2025-10-13 12:25:16,0.449,0.302,0.147,-0.024,0.447,0.000,0.000
2025-10-13 12:25:17,0.604,0.416,0.188,0.033,0.602,0.000,0.000
2025-10-13 12:25:18,0.148,0.298,-0.150,-0.067,0.146,0.000,0.000
2025-10-13 12:25:19,0.103,0.414,-0.311,-0.404,0.110,0.000,0.000
